"","mod_name","beta","std","t.value","p.value","CI.Lower_95CI","CI.Upper_95CI","dependent","factor","p.corrected","Sig"
"527","dtifa_scs~pt_m_INT",-2.241624e-02,0.04148587,-0.540334390,0.589272518,-0.103978246, 0.059145757,"dtifa_scs","pt_m_INT",0.97039215,FALSE
"528","dtifa_fscs~pt_m_INT",-1.014194e-02,0.04251966,-0.238523564,0.811599364,-0.093736378, 0.073452498,"dtifa_fscs","pt_m_INT",0.97039215,FALSE
"529","dtifa_pscs~pt_m_INT",-2.222301e-02,0.04214886,-0.527250656,0.598317039,-0.105088454, 0.060642427,"dtifa_pscs","pt_m_INT",0.97039215,FALSE
"530","dtifa_sifc~pt_m_INT", 2.335399e-02,0.04173063, 0.559636612,0.576046137,-0.058689205, 0.105397180,"dtifa_sifc","pt_m_INT",0.97039215,FALSE
"531","dtifa_ifsfc~pt_m_INT",-4.798578e-03,0.04495515,-0.106741466,0.915048552,-0.093181237, 0.083584080,"dtifa_ifsfc","pt_m_INT",0.97039215,FALSE
"532","dtifa_fxcut~pt_m_INT",-2.147870e-04,0.04288739,-0.005008161,0.996006624,-0.084532200, 0.084102626,"dtifa_fxcut","pt_m_INT",0.99600662,FALSE
"533","bl.dtifa_fmaj~pt_m_INT", 5.449578e-03,0.05008794, 0.108800212,0.913416485,-0.092720977, 0.103620133,"bl.dtifa_fmaj","pt_m_INT",0.97039215,FALSE
"534","bl.dtifa_fmin~pt_m_INT",-1.214688e-02,0.04509559,-0.269358497,0.787795184,-0.100532603, 0.076238844,"bl.dtifa_fmin","pt_m_INT",0.97039215,FALSE
"535","bl.dtifa_cc~pt_m_INT",-2.343157e-02,0.04403343,-0.532131472,0.594935635,-0.109735515, 0.062872365,"bl.dtifa_cc","pt_m_INT",0.97039215,FALSE
"536","dtimd_fx~pt_m_INT", 1.369303e-01,0.05045519, 2.713898862,0.006942376, 0.037734442, 0.236126135,"dtimd_fx","pt_m_INT",0.04800797,FALSE
"537","dtimd_cgc~pt_m_INT", 3.005743e-02,0.04272195, 0.703559458,0.482123777,-0.053934717, 0.114049581,"dtimd_cgc","pt_m_INT",0.53569309,FALSE
"538","dtimd_cgh~pt_m_INT", 2.161209e-03,0.04281642, 0.050476180,0.959768575,-0.082016671, 0.086339089,"dtimd_cgh","pt_m_INT",0.95976857,FALSE
"539","dtimd_cst~pt_m_INT", 3.519656e-02,0.04215968, 0.834839370,0.404315354,-0.047690159, 0.118083286,"dtimd_cst","pt_m_INT",0.50539419,FALSE
"540","dtimd_atr~pt_m_INT", 6.583013e-02,0.04552124, 1.446140878,0.148934712,-0.023665479, 0.155325732,"dtimd_atr","pt_m_INT",0.24673524,FALSE
"541","dtimd_unc~pt_m_INT", 1.172200e-01,0.04503934, 2.602613130,0.009601593, 0.028671797, 0.205768156,"dtimd_unc","pt_m_INT",0.04800797,FALSE
"542","dtimd_ilf~pt_m_INT", 1.245249e-01,0.04677993, 2.661929106,0.008088253, 0.032554645, 0.216495079,"dtimd_ilf","pt_m_INT",0.04800797,FALSE
"543","dtimd_ifo~pt_m_INT", 1.221599e-01,0.04657303, 2.622974647,0.009055700, 0.030596433, 0.213723319,"dtimd_ifo","pt_m_INT",0.04800797,FALSE
"544","dtimd_slf~pt_m_INT", 1.064670e-01,0.04744523, 2.243996910,0.025388654, 0.013188745, 0.199745174,"dtimd_slf","pt_m_INT",0.07253901,FALSE
"545","dtimd_tslf~pt_m_INT", 1.164507e-01,0.04753349, 2.449866815,0.014726346, 0.022998993, 0.209902442,"dtimd_tslf","pt_m_INT",0.05890538,FALSE
"546","dtimd_pslf~pt_m_INT", 9.484992e-02,0.04712875, 2.012570112,0.044841552, 0.002193914, 0.187505926,"dtimd_pslf","pt_m_INT",0.11210388,FALSE
"547","dtimd_scs~pt_m_INT", 5.835479e-02,0.04582288, 1.273486082,0.203598305,-0.031733832, 0.148443419,"dtimd_scs","pt_m_INT",0.29085472,FALSE
"548","dtimd_fscs~pt_m_INT", 3.402041e-02,0.04552980, 0.747211896,0.455382482,-0.055492023, 0.123532836,"dtimd_fscs","pt_m_INT",0.53569309,FALSE
"549","dtimd_pscs~pt_m_INT", 6.568622e-02,0.04670324, 1.406459627,0.160377907,-0.026133219, 0.157505667,"dtimd_pscs","pt_m_INT",0.24673524,FALSE
"550","dtimd_sifc~pt_m_INT", 6.484759e-02,0.04253628, 1.524524174,0.128182112,-0.018779532, 0.148474709,"dtimd_sifc","pt_m_INT",0.23305839,FALSE
"551","dtimd_ifsfc~pt_m_INT", 4.707439e-02,0.04615042, 1.020020860,0.308346065,-0.043658191, 0.137806967,"dtimd_ifsfc","pt_m_INT",0.41112809,FALSE
"552","dtimd_fxcut~pt_m_INT", 1.130438e-01,0.04933691, 2.291261295,0.022476733, 0.016046469, 0.210041036,"dtimd_fxcut","pt_m_INT",0.07253901,FALSE
"553","bl.dtimd_fmaj~pt_m_INT", 3.162748e-02,0.04931679, 0.641312631,0.521693406,-0.065031646, 0.128286600,"bl.dtimd_fmaj","pt_m_INT",0.54915095,FALSE
"554","bl.dtimd_fmin~pt_m_INT", 8.206236e-02,0.04980098, 1.647806259,0.100191660,-0.015545759, 0.179670479,"bl.dtimd_fmin","pt_m_INT",0.21654599,FALSE
"555","bl.dtimd_cc~pt_m_INT", 8.178486e-02,0.05080849, 1.609669259,0.108272993,-0.017797945, 0.181367669,"bl.dtimd_cc","pt_m_INT",0.21654599,FALSE
