Category	File.name	Field.name	Description
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_rracatelh	Cortical sulcal depth in mm of APARC ROI lh-rostralanteriorcingulate
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_rrmdfrlh	Cortical sulcal depth in mm of APARC ROI lh-rostralmiddlefrontal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_sufrlh	Cortical sulcal depth in mm of APARC ROI lh-superiorfrontal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_supllh	Cortical sulcal depth in mm of APARC ROI lh-superiorparietal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_sutmlh	Cortical sulcal depth in mm of APARC ROI lh-superiortemporal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_smlh	Cortical sulcal depth in mm of APARC ROI lh-supramarginal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_frpolelh	Cortical sulcal depth in mm of APARC ROI lh-frontalpole
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_tmpolelh	Cortical sulcal depth in mm of APARC ROI lh-temporalpole
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_trvtmlh	Cortical sulcal depth in mm of APARC ROI lh-transversetemporal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_insulalh	Cortical sulcal depth in mm of APARC ROI lh-insula
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_banksstsrh	Cortical sulcal depth in mm of APARC ROI rh-Banks of Superior Temporal Sulcus
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_cdacaterh	Cortical sulcal depth in mm of APARC ROI rh-caudalanteriorcingulate
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_cdmdfrrh	Cortical sulcal depth in mm of APARC ROI rh-caudalmiddlefrontal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_cuneusrh	Cortical sulcal depth in mm of APARC ROI rh-cuneus
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_ehinalrh	Cortical sulcal depth in mm of APARC ROI rh-entorhinal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_fusiformrh	Cortical sulcal depth in mm of APARC ROI rh-fusiform
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_ifplrh	Cortical sulcal depth in mm of APARC ROI rh-inferiorparietal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_iftmrh	Cortical sulcal depth in mm of APARC ROI rh-inferiortemporal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_ihcaterh	Cortical sulcal depth in mm of APARC ROI rh-isthmuscingulate
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_loccrh	Cortical sulcal depth in mm of APARC ROI rh-lateraloccipital
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_lobfrrh	Cortical sulcal depth in mm of APARC ROI rh-lateralorbitofrontal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_lingualrh	Cortical sulcal depth in mm of APARC ROI rh-lingual
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_mobfrrh	Cortical sulcal depth in mm of APARC ROI rh-medialorbitofrontal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_mdtmrh	Cortical sulcal depth in mm of APARC ROI rh-middletemporal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_parahpalrh	Cortical sulcal depth in mm of APARC ROI rh-parahippocampal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_paracnrh	Cortical sulcal depth in mm of APARC ROI rh-paracentral
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_parsopcrh	Cortical sulcal depth in mm of APARC ROI rh-parsopercularis
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_parsobisrh	Cortical sulcal depth in mm of APARC ROI rh-parsorbitalis
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_parstgrisrh	Cortical sulcal depth in mm of APARC ROI rh-parstriangularis
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_periccrh	Cortical sulcal depth in mm of APARC ROI rh-pericalcarine
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_postcnrh	Cortical sulcal depth in mm of APARC ROI rh-postcentral
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_ptcaterh	Cortical sulcal depth in mm of APARC ROI rh-posteriorcingulate
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_precnrh	Cortical sulcal depth in mm of APARC ROI rh-precentral
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_pcrh	Cortical sulcal depth in mm of APARC ROI rh-precuneus
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_rracaterh	Cortical sulcal depth in mm of APARC ROI rh-rostralanteriorcingulate
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_rrmdfrrh	Cortical sulcal depth in mm of APARC ROI rh-rostralmiddlefrontal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_sufrrh	Cortical sulcal depth in mm of APARC ROI rh-superiorfrontal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_suplrh	Cortical sulcal depth in mm of APARC ROI rh-superiorparietal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_sutmrh	Cortical sulcal depth in mm of APARC ROI rh-superiortemporal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_smrh	Cortical sulcal depth in mm of APARC ROI rh-supramarginal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_frpolerh	Cortical sulcal depth in mm of APARC ROI rh-frontalpole
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_tmpolerh	Cortical sulcal depth in mm of APARC ROI rh-temporalpole
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_trvtmrh	Cortical sulcal depth in mm of APARC ROI rh-transversetemporal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_insularh	Cortical sulcal depth in mm of APARC ROI rh-insula
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_mean	Mean Cortical Sulcal Depth in mm for whole brain
MRI_T_roi	abcd_smrip101	smri_area_cdk_banksstslh	Cortical area in mm^2 of APARC ROI lh-Banks of Superior Temporal Sulcus
MRI_T_roi	abcd_smrip101	smri_area_cdk_cdacatelh	Cortical area in mm^2 of APARC ROI lh-caudalanteriorcingulate
MRI_T_roi	abcd_smrip101	smri_area_cdk_cdmdfrlh	Cortical area in mm^2 of APARC ROI lh-caudalmiddlefrontal
MRI_T_roi	abcd_smrip101	smri_area_cdk_cuneuslh	Cortical area in mm^2 of APARC ROI lh-cuneus
MRI_T_roi	abcd_smrip101	smri_area_cdk_ehinallh	Cortical area in mm^2 of APARC ROI lh-entorhinal
MRI_T_roi	abcd_smrip101	smri_area_cdk_fusiformlh	Cortical area in mm^2 of APARC ROI lh-fusiform
MRI_T_roi	abcd_smrip101	smri_area_cdk_ifpllh	Cortical area in mm^2 of APARC ROI lh-inferiorparietal
MRI_T_roi	abcd_smrip101	smri_area_cdk_iftmlh	Cortical area in mm^2 of APARC ROI lh-inferiortemporal
MRI_T_roi	abcd_smrip101	smri_area_cdk_ihcatelh	Cortical area in mm^2 of APARC ROI lh-isthmuscingulate
MRI_T_roi	abcd_smrip101	smri_area_cdk_locclh	Cortical area in mm^2 of APARC ROI lh-lateraloccipital
MRI_T_roi	abcd_smrip101	smri_area_cdk_lobfrlh	Cortical area in mm^2 of APARC ROI lh-lateralorbitofrontal
MRI_T_roi	abcd_smrip101	smri_area_cdk_linguallh	Cortical area in mm^2 of APARC ROI lh-lingual
MRI_T_roi	abcd_smrip101	smri_area_cdk_mobfrlh	Cortical area in mm^2 of APARC ROI lh-medialorbitofrontal
MRI_T_roi	abcd_smrip101	smri_area_cdk_mdtmlh	Cortical area in mm^2 of APARC ROI lh-middletemporal
MRI_T_roi	abcd_smrip101	smri_area_cdk_parahpallh	Cortical area in mm^2 of APARC ROI lh-parahippocampal
MRI_T_roi	abcd_smrip101	smri_area_cdk_paracnlh	Cortical area in mm^2 of APARC ROI lh-paracentral
MRI_T_roi	abcd_smrip101	smri_area_cdk_parsopclh	Cortical area in mm^2 of APARC ROI lh-parsopercularis
MRI_T_roi	abcd_smrip101	smri_area_cdk_parsobislh	Cortical area in mm^2 of APARC ROI lh-parsorbitalis
MRI_T_roi	abcd_smrip101	smri_area_cdk_parstgrislh	Cortical area in mm^2 of APARC ROI lh-parstriangularis
MRI_T_roi	abcd_smrip101	smri_area_cdk_pericclh	Cortical area in mm^2 of APARC ROI lh-pericalcarine
